nomem_encr;cv22n_m1;cv22n_m2;cv22n_m3;cv22n160;cv22n242;cv22n001;cv22n002;cv22n003;cv22n166;cv22n006;cv22n167;cv22n168;cv22n008;cv22n009;cv22n010;cv22n011;cv22n012;cv22n013;cv22n014;cv22n015;cv22n016;cv22n017;cv22n018;cv22n019;cv22n020;cv22n021;cv22n022;cv22n023;cv22n024;cv22n025;cv22n026;cv22n027;cv22n028;cv22n029;cv22n030;cv22n031;cv22n032;cv22n033;cv22n034;cv22n035;cv22n036;cv22n037;cv22n038;cv22n039;cv22n040;cv22n041;cv22n042;cv22n043;cv22n044;cv22n045;cv22n046;cv22n047;cv22n048;cv22n049;cv22n050;cv22n051;cv22n052;cv22n053;cv22n307;cv22n208;cv22n243;cv22n308;cv22n210;cv22n245;cv22n246;cv22n251;cv22n248;cv22n250;cv22n249;cv22n247;cv22n253;cv22n304;cv22n255;cv22n252;cv22n321;cv22n322;cv22n254;cv22n257;cv22n256;cv22n323;cv22n324;cv22n260;cv22n259;cv22n261;cv22n262;cv22n263;cv22n065;cv22n066;cv22n067;cv22n068;cv22n069;cv22n070;cv22n071;cv22n072;cv22n073;cv22n075;cv22n211;cv22n216;cv22n213;cv22n215;cv22n214;cv22n212;cv22n218;cv22n305;cv22n220;cv22n217;cv22n325;cv22n326;cv22n219;cv22n264;cv22n221;cv22n327;cv22n328;cv22n222;cv22n318;cv22n224;cv22n317;cv22n225;cv22n329;cv22n240;cv22n306;cv22n315;cv22n267;cv22n331;cv22n332;cv22n230;cv22n320;cv22n330;cv22n333;cv22n334;cv22n199;cv22n309;cv22n234;cv22n205;cv22n200;cv22n310;cv22n236;cv22n098;cv22n311;cv22n238;cv22n101;cv22n102;cv22n103;cv22n104;cv22n105;cv22n106;cv22n107;cv22n108;cv22n109;cv22n110;cv22n111;cv22n112;cv22n113;cv22n114;cv22n115;cv22n116;cv22n117;cv22n118;cv22n119;cv22n120;cv22n121;cv22n122;cv22n123;cv22n124;cv22n125;cv22n126;cv22n127;cv22n128;cv22n129;cv22n130;cv22n131;cv22n132;cv22n133;cv22n134;cv22n139;cv22n140;cv22n141;cv22n142;cv22n143;cv22n144;cv22n145;cv22n146;cv22n147;cv22n148;cv22n151;cv22n152;cv22n153;cv22n154;cv22n274;cv22n275;cv22n276;cv22n277;cv22n278;cv22n289;cv22n290;cv22n291;cv22n292;cv22n279;cv22n280;cv22n281;cv22n282;cv22n283;cv22n293;cv22n294;cv22n295;cv22n296;cv22n284;cv22n285;cv22n286;cv22n287;cv22n288;cv22n297;cv22n298;cv22n299;cv22n300;cv22n301;cv22n302;cv22n303
800161;202112;202201;202202;51;1;4;1;1;1;0;0; ;2;2;1;2;2;8;8;7;8;8;8;7;8;6;8;8;8;7;7;8;8;7;6;-9;7;7;6;6;6;-9;6;8;8;7;7;8;9;9;8;2;2;2;1;1;2;1;6; ;100;7; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;0;0;0;0;0;0;0;0; ;8;7;1;7;8;7;6;1;4;7;-9;5;4;5;6;6;3;9;6;1;7;8;7;6;1;-9;8;-9;-9;6;5;-9;-9;2;2; ; ; ;1;6; ;2; ; ;4;5;4;2;-9;1;4;2;5;1;1;4;1;4;4;4;4;3;4;2;2;4;3;2;1;5;5;4;4;5;3;2;2;2;2;2;2;2;1;1;1;1;3;2;2;1;1;1;1;5;3;4;4;2021-12-07;12:58:35;2021-12-07;13:02:17;2;5;3;4;4;2022-01-19;14:02:47;2022-01-19;14:06:52;2;5;4;4;4;2022-02-22;12:37:02;2022-02-22;12:42:01;222;245;299
800170;202112;202201;202202;63;1;1;1;1;0;0;0; ;1;3;1;1;1;0;0;2;7;0;0;0;0;1;6;3;3;6;4;0;3;1;0;0;1;6;0;0;0;0;2;5;5;2;5;4;0;7;4;1;1;1;2;1;2;1;17; ;100;18; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;0;0;0;0;0;0;0;0;1; ;2;2;5;7;3;3;2;5;-9;7;-9;8;-9;2;6;6;-9;2;0;6;3;4;-9;2;5;-9;7;-9;8;-9;2;-9;7;0;2; ; ; ;2; ; ;2; ; ;9;5;3;3;4;3;2;1;5;1;2;5;1;4;4;2;3;1;3;5;2;2;5;1;1;5;5;5;3;4;2;1;4;5;1;3;4;1;2;2;2;2;5;4;1;1;1;1;1;5;4;5;5;2021-12-20;13:09:14;2021-12-20;13:15:46;1;5;3;5;5;2022-01-05;11:57:57;2022-01-05;12:07:32;1;5;4;5;5;2022-02-13;09:41:52;2022-02-13;09:49:21;392;575;449
800186;202112;202201;202202;82;2;3;1;0;1;0;0; ;1;3;2;2;2;6;7;7;7;6;6;7;8;6;7;7;8;8;7;6;7;5;6;7;7;8;7;6;8;7;6;7;7;8;8;7;6;7;5;1;1;1;2;2;1;1;1; ;90; ; ; ; ; ; ;100; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;0;0; ;0;0;0;0;0;0;0;0;1; ;7;6;1;7;5;5;6;1;5;6;-9;3;2;2;5;6;3;6;5;1;6;6;6;7;1;3;5;3;2;3;4;3;5;4;2; ; ; ;2; ; ;2; ; ;6;4;4;4;4;3;1;4;5;2;3;3;2;3;3;4;4;4;3;3;2;4;4;2;2;4;4;4;4;3;3;3;3;3;3;4;4;3;2;2;2;1;5;5;2;2;3;2;1;4;4;4;4;2021-12-20;14:25:22;2021-12-20;14:30:43;5;4;4;4;4;2022-01-04;15:42:25;2022-01-04;15:51:34;4;4;4;4;5;2022-02-09;13:02:08;2022-02-09;13:11:06;321;549;538
800201;202112;202201;202202;48;2;3;1;1;0;0;0; ;1;2;1;2;1;7;7;8;7;6;6;7;7;6;7;7;7;6;5;7;7;6;7;7;7;6;6;6;7;7;7;7;8;8;7;5;7;7;6;2;2;2;1;1;2;1;5; ;99; ; ; ; ; ; ; ; ; ;50; ;40; ;10; ; ; ; ; ; ; ; ;0;0; ;0;0;0;0;0;0;0;0;1; ;5;6;4;4;6;6;7;2;7;5;7;4;4;4;5;3;5;6;4;3;4;6;3;6;0;8;5;6;6;6;4;5;4;5;2; ; ; ;1;5; ;2; ; ;-9;5;5;1;1;4;1;2;5;2;1;3;1;3;3;5;3;4;4;2;3;4;2;4;1;4;5;4;5;5;3;3;3;3;3;4;4;3;1;1;1;1;3;3;3;1;1;1;1;5;3;3;4;2021-12-06;19:58:36;2021-12-06;20:03:03;1;5;3;1;4;2022-01-03;13:39:40;2022-01-03;13:45:58;2;5;2;4;5;2022-02-07;12:27:30;2022-02-07;12:34:38;267;378;428
800204;202112;202201;202202;79;2;2;1;0;0;0;0; ;1;4;1;3;2;7;5;9;10;4;2;7;7;3;8;9;9;10;4;7;7;4;7;8;8;9;3;2;5;4;3;5;7;8;9;6;7;6;8;1;1;1;1;1;2;1;1; ;70; ; ; ;70; ; ; ;10; ; ; ; ; ;20; ; ; ; ; ; ; ; ;0;0; ;0;0;0;0;0;0;0;0;1; ;8;3;1;1;1;1;1;0;0;1;4;3;1;2;3;5;0;7;5;4;5;3;2;2;0;1;6;8;6;2;0;-9;6;0;2; ; ; ;1;15; ;2; ; ;5;5;5;4;1;1;2;3;4;3;3;5;1;4;4;4;4;3;3;2;4;4;4;2;2;3;4;5;4;3;3;2;3;1;2;5;3;2;2;2;2;1;5;2;3;2;4;1;1;5;3;4;5;2021-12-15;11:53:55;2021-12-15;12:01:56;5;5;5;5;4;2022-01-06;10:53:33;2022-01-06;14:31:41;2;5;2;5;5;2022-02-21;12:26:55;2022-02-21;12:41:52;481;13088;897
800216;202112;202201;202202;63;2;2;1;1;1;0;0; ;1;4;1;3;1;3;6;5;7;5;5;5;7;7;7;7;7;7;6;6;7;6;4;5;6;7;6;7;6;8;8;6;7;8;8;8;7;7;7;2;1;1;1;1;2;1;4; ;100; ; ; ;0;15;0;15;0;15;0;0;0;0;45;0;0;0;0;10; ; ; ;0;0; ;0;0;0;0;0;0;0;0;1; ;4;6;2;6;5;6;6;0;6;7;7;5;5;2;5;6;4;1;6;2;6;3;6;5;0;6;7;7;5;5;2;5;7;2;2; ; ; ;1;15; ;2; ; ;6;5;5;4;2;2;1;4;3;2;4;3;2;4;4;3;4;2;3;4;2;2;4;2;2;2;4;2;3;4;3;2;2;2;4;4;3;3;2;2;2;1;5;3;2;2;2;2;1;4;4;4;4;2021-12-08;15:47:51;2021-12-08;15:51:39;1;4;3;4;4;2022-01-04;14:26:32;2022-01-04;14:33:09;2;4;3;4;4;2022-02-07;13:08:05;2022-02-07;13:15:26;228;397;441
800228;202112;202201;202202;69;2;2;1;0;1;0;0; ;1;3;1;2;1;4;6;8;7;5;5;4;6;7;7;7;7;8;6;6;7;5;3;5;8;6;5;5;4;6;6;7;7;8;8;6;6;7;5;1;1;1;2;1;2;-9; ; ;100; ; ; ;0;25;0;0;10;50;15;0;0;0;0;0;0;0;0;0;0;0;0;0;0; ;0;0;1;0;0;0;1;0;0; ;2;6;1;2;4;8;6;0;5;4;4;3;1;0;2;2;3;4;7;4;4;6;5;7;0;4;7;5;5;4;0;2;2;4;1;7; ;2; ; ; ;2; ; ;4;5;4;4;3;1;2;4;5;2;2;5;1;4;4;3;4;1;4;5;2;4;4;2;2;3;5;4;4;4;3;2;3;3;3;4;3;1;2;2;2;1;5;4;3;1;2;1;2;4;2;2;3;2021-12-26;13:35:45;2021-12-26;13:39:49;2;4;2;2;2;2022-01-10;21:53:38;2022-01-12;09:52:29;2;4;2;2;2;2022-02-21;15:24:45;2022-02-21;15:32:31;244;129531;466
800239;202201;202202;202202;17;1;4;1;0;0;0;0; ;1;4;1;3;1;8;9;9;9;5;9;6;9;8;7;9;10;10;5;10;8;8;7;9;10;9;9;10;10;10;9;9;10;10;10;5;8;9;7;1;1;2;2;2;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;0;0;0;0;0;0;0;0;1; ;0;0;4;7;7;6;3;6;5;5;-9;-9;2;6;-9;6;3;0;0;4;3;4;2;5;6;3;4;-9;-9;-9;-9;-9;6;1;2; ; ; ;2; ; ;2; ; ;8;4;5;4;5;2;1;4;5;3;1;5;2;3;3;4;2;4;2;1;2;5;3;1;1;4;5;5;5;5;2;5;4;1;5;5;4;4;2;2;1;1;5;4;1;1;1;1;4;5;4;4;4;2022-01-17;12:32:21;2022-01-17;12:35:55;1;5;3;5;5;2022-02-08;17:21:45;2022-02-08;17:24:36;1;5;3;5;5;2022-02-08;17:25:01;2022-02-08;17:31:30;214;171;389
800289;202112;202201;202202;68;1;1;1;1;1;0;0; ;1;4;1;3;2;1;1;6;7;1;1;2;4;6;7;7;7;8;4;5;7;6;1;1;6;6;1;2;2;5;6;6;7;7;7;4;5;7;6;1;1;1;2;1;1;1;6; ;100;-9; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;0;0;0;0;0;0;0;0;1; ;2;2;3;3;6;2;2;1;3;2;1;1;1;0;5;2;1;1;1;3;2;6;2;3;0;2;2;1;2;2;1;2;2;0;2; ; ; ;1;6; ;2; ; ;5;5;5;5;4;4;1;3;5;1;1;1;1;3;3;3;1;1;4;4;1;4;5;1;1;4;4;3;5;4;2;1;3;1;4;4;2;1;2;1;1;1;5;3;1;1;1;1;1;5;5;5;5;2021-12-06;14:08:00;2021-12-06;14:11:57;1;5;4;1;3;2022-01-17;09:44:42;2022-01-17;09:49:25;1;5;5;5;5;2022-02-16;09:16:26;2022-02-21;09:08:53;237;283;431547
800360;202112;202201;202202;69;2;4;1;0;1;0;0; ;2;2;1;2;2;7;6;8;8;6;6;6;6;6;8;8;8;8;6;7;7;6;7;6;8;8;6;6;6;6;6;8;8;8;8;6;7;7;6;1;1;1;2;1;2;1;3; ;100; ; ; ; ; ; ; ; ; ; ; ; ;100; ; ; ; ; ; ; ; ; ;0;0; ;0;0;0;0;0;0;0;0;1; ;7;6;2;7;3;5;6;2;3;8;6;3;6;3;5;6;2;8;6;3;7;3;4;7;1;4;8;5;5;6;3;5;6;2;2; ; ; ;1;8; ;2; ; ;7;4;4;3;4;1;3;2;4;2;2;4;2;3;3;3;3;3;4;2;2;3;3;2;3;3;3;3;3;3;2;2;3;3;4;4;3;3;2;2;1;1;2;2;3;2;2;2;3;4;3;4;4;2021-12-20;20:08:31;2021-12-20;20:12:00;3;4;3;4;4;2022-01-03;13:07:23;2022-01-03;13:11:52;3;4;3;4;4;2022-02-20;18:16:13;2022-02-20;18:21:32;209;269;319
800372;202112;202201;202202;31;2;3;0;1;0;0;0; ;2;2;2;2;2;7;7;7;8;6;7;7;7;5;8;8;8;8;7;7;7;7;7;7;7;7;5;6;6;7;4;7;7;7;7;7;7;7;7;2;1;1;2;2;2;1;3; ;100; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;0; ;0;0;0;0;0;0;0;0;1; ;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;2; ; ; ;1;3; ;2; ; ;6;5;5;3;3;1;3;4;4;2;1;5;1;3;3;3;2;1;1;3;2;4;2;1;1;3;5;5;3;5;1;1;1;1;4;4;2;2;2;1;1;1;6;6;3;5;1;1;3;3;3;3;3;2021-12-10;20:31:58;2021-12-10;20:43:32;3;3;3;3;3;2022-01-15;19:31:51;2022-01-15;19:36:03;1;4;2;1;3;2022-02-19;12:26:47;2022-02-19;12:37:15;694;252;628
800392;202112;202201;202202;59;1;3;1;1;0;0;0; ;1;3;1;2;1;6;7;9;10;6;5;0;7;7;8;9;9;9;6;7;7;6;6;7;9;10;6;5;0;7;7;8;9;9;9;6;7;7;6;1;1;1;1;1;1;1;17; ;90;18; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;0;0;0;0;0;0;0;0;1; ;7;4;8;7;0;0;0;0;4;7;0;8;4;0;7;8;0;6;3;8;8;3;0;0;0;0;7;-9;9;3;0;7;8;0;2; ; ; ;1;16; ;2; ; ;8;5;3;4;5;1;3;4;4;3;2;4;2;3;2;2;1;1;4;4;1;1;5;1;1;3;5;1;3;4;3;1;2;2;5;4;2;1;1;1;1;1;4;1;2;1;4;1;1;5;1;5;5;2021-12-17;10:49:51;2021-12-17;10:55:40;1;5;1;5;5;2022-01-13;10:17:18;2022-01-13;10:22:02;1;5;1;5;5;2022-02-20;18:46:04;2022-02-20;18:54:41;349;284;517
