nomem_encr;cv23o_m1;cv23o_m2;cv23o_m3;cv23o160;cv23o242;cv23o001;cv23o002;cv23o003;cv23o335;cv23o166;cv23o336;cv23o006;cv23o167;cv23o168;cv23o008;cv23o009;cv23o010;cv23o011;cv23o012;cv23o013;cv23o014;cv23o015;cv23o016;cv23o017;cv23o018;cv23o019;cv23o020;cv23o021;cv23o022;cv23o023;cv23o024;cv23o025;cv23o026;cv23o027;cv23o028;cv23o029;cv23o030;cv23o031;cv23o032;cv23o033;cv23o034;cv23o035;cv23o036;cv23o037;cv23o038;cv23o039;cv23o040;cv23o041;cv23o042;cv23o043;cv23o044;cv23o045;cv23o046;cv23o047;cv23o048;cv23o049;cv23o050;cv23o051;cv23o052;cv23o053;cv23o307;cv23o208;cv23o243;cv23o308;cv23o210;cv23o245;cv23o246;cv23o251;cv23o248;cv23o250;cv23o249;cv23o247;cv23o253;cv23o304;cv23o255;cv23o252;cv23o321;cv23o322;cv23o254;cv23o257;cv23o256;cv23o323;cv23o324;cv23o260;cv23o259;cv23o261;cv23o262;cv23o263;cv23o065;cv23o066;cv23o067;cv23o068;cv23o069;cv23o070;cv23o071;cv23o072;cv23o073;cv23o075;cv23o211;cv23o216;cv23o213;cv23o215;cv23o214;cv23o212;cv23o218;cv23o305;cv23o220;cv23o217;cv23o325;cv23o326;cv23o219;cv23o264;cv23o221;cv23o327;cv23o328;cv23o222;cv23o318;cv23o224;cv23o317;cv23o225;cv23o337;cv23o240;cv23o306;cv23o315;cv23o338;cv23o331;cv23o332;cv23o230;cv23o320;cv23o330;cv23o333;cv23o334;cv23o199;cv23o309;cv23o234;cv23o205;cv23o200;cv23o310;cv23o236;cv23o098;cv23o311;cv23o238;cv23o101;cv23o102;cv23o103;cv23o104;cv23o105;cv23o106;cv23o107;cv23o108;cv23o109;cv23o110;cv23o111;cv23o112;cv23o113;cv23o114;cv23o115;cv23o116;cv23o117;cv23o118;cv23o119;cv23o120;cv23o121;cv23o122;cv23o123;cv23o124;cv23o125;cv23o126;cv23o127;cv23o128;cv23o129;cv23o130;cv23o131;cv23o132;cv23o133;cv23o134;cv23o139;cv23o140;cv23o141;cv23o142;cv23o143;cv23o144;cv23o145;cv23o146;cv23o147;cv23o148;cv23o151;cv23o152;cv23o153;cv23o154;cv23o274;cv23o275;cv23o276;cv23o277;cv23o278;cv23o289;cv23o290;cv23o291;cv23o292;cv23o279;cv23o280;cv23o281;cv23o282;cv23o283;cv23o293;cv23o294;cv23o295;cv23o296;cv23o284;cv23o285;cv23o286;cv23o287;cv23o288;cv23o297;cv23o298;cv23o299;cv23o300;cv23o301;cv23o302;cv23o303
800128;202212;-9;-9;-9;-9;3;1;0;1;0;0;0;0; ;-9;3;2;3;2;5;5;5;4;5;5;5;3;4;5;4;6;5;4;6;2;4;5;5;5;5;4;4;5;5;5;5;5;4;6;6;7;6;6;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;1;2;3;4;05-12-2022;12:55:40;05-12-2022;12:57:40; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;120; ; 
800131;202212;202301;202302;68;2;2;1;0;0;0;0;0;0; ;2;1;1;2;2;4;3;0;6;6;4;1;1;0;6;0;3;5;4;0;7;0;0;0;0;4;3;4;0;0;0;5;1;5;6;2;2;7;5;1;1;1;2;2;1;1;1; ;100; ; ; ;100; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;0;0; ;0;0;0;0;0;0;0;0;1; ;7;3;3;4;2;2;1;0;7;2;2;7;1;3;3;4;-9;6;1;0;2;0;0;1;0;3;3;3;3;2;1;3;4;0;2; ; ; ;1;1; ;2; ; ;6;5;-9;5;-9;1;3;4;4;4;5;4;2;3;3;3;4;5;3;4;4;2;4;3;4;3;3;4;4;4;4;3;4;4;4;4;3;3;3;3;2;2;6;6;4;1;2;3;1;5;1;1;5;16-12-2022;17:02:32;16-12-2022;17:06:43;1;5;1;1;4;07-01-2023;13:36:59;07-01-2023;13:41:59;1;5;1;3;3;09-02-2023;16:34:59;09-02-2023;16:40:18;251;300;319
800136;202212;202301;202302;60;1;5;1;1;1;1;0;0;0; ;1;3;1;3;1;1;0;7;8;0;0;0;7;7;9;7;7;7;6;7;6;2;1;0;7;7;0;0;0;7;6;9;8;8;7;6;7;6;3;1;1;1;2;2;1;1;3; ;100;-9; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;0;0;0;0;0;0;0;0;1; ;6;4;1;6;4;3;3;0;4;6;5;5;6;1;6;6;0;6;4;1;5;4;3;2;0;3;5;5;5;6;0;5;6;0;2; ; ; ;1;1; ;2; ; ;7;5;4;3;4;3;4;2;4;1;2;5;1;3;4;5;5;1;2;2;2;4;5;1;1;4;5;1;4;4;5;5;5;4;4;4;3;2;2;1;1;1;4;1;2;1;1;2;1;5;1;5;5;05-12-2022;15:09:05;05-12-2022;15:11:11;1;4;1;3;5;02-01-2023;13:36:38;02-01-2023;13:40:09;1;5;2;4;5;09-02-2023;15:38:32;09-02-2023;15:42:10;126;211;218
800156;202212;202301;202302;48;1;3;1;0;0;0;0;0;0; ;2;2;2;2;2;3;3;5;8;1;2;2;6;4;5;7;9;8;6;6;6;4;2;2;3;7;6;6;6;6;4;7;8;10;8;6;6;5;5;1;1;1;2;2;1;2; ; ;0;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;0;0;0;0;0;0;0;0; ;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;8;4;7;-9;9;-9;-9;6;-9;-9;-9;-9;-9;-9;-9;3;2;2; ; ; ;2; ; ;2; ; ;-9;5;3;4;3;1;3;2;5;2;2;2;1;1;1;3;4;1;4;4;4;2;4;2;2;4;4;2;4;4;2;2;2;2;2;2;2;1;2;2;2;2;4;6;4;1;1;1;3;3;2;4;3;07-12-2022;12:21:37;07-12-2022;12:25:12;4;5;1;1;3;02-01-2023;12:51:42;02-01-2023;12:54:31;1;5;3;3;3;07-02-2023;11:32:22;07-02-2023;11:39:03;215;169;401
800161;202212;202301;202302;52;2;2;1;1;0;1;0;0;0; ;2;2;1;2;2;5;6;8;8;7;7;7;7;6;8;8;8;7;7;7;8;7;6;6;7;8;6;7;6;7;6;8;8;7;7;7;8;8;7;2;2;2;1;1;2;1;6; ;100; ; ; ;25;25;0;0;15;35;0;0;0;0;0;0;0;0;0;0;0;0; ;0;0; ;0;0;0;0;0;0;0;0;1; ;7;7;2;7;8;8;6;0;5;7;-9;5;6;-9;6;6;2;8;6;3;7;7;7;6;0;5;8;-9;7;7;-9;-9;6;1;2; ; ; ;2; ; ;2; ; ;4;5;4;2;3;4;1;2;5;1;1;4;1;5;5;4;4;3;5;2;2;4;3;2;1;4;5;1;4;5;3;3;2;2;2;4;3;2;1;1;1;1;3;2;1;1;1;1;2;5;3;4;4;06-12-2022;18:03:35;06-12-2022;18:07:32;2;4;3;4;4;28-01-2023;12:44:39;28-01-2023;12:51:11;2;5;4;5;4;07-02-2023;07:26:02;07-02-2023;07:31:54;237;392;352
800170;202212;202301;202302;64;1;1;1;0;1;0;0;0;0; ;2;2;1;1;2;0;0;2;3;0;0;0;0;2;4;5;4;5;5;1;5;4;0;0;2;4;0;0;0;0;1;1;5;2;7;6;1;6;4;1;1;1;2;1;2;1;17; ;100;3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;0;0;0;0;0;0;0;0;1; ;0;0;7;6;0;0;0;3;7;7;4;7;-9;4;7;7;-9;0;0;8;3;6;-9;0;6;-9;7;-9;7;-9;5;-9;8;0;2; ; ; ;1;2; ;2; ; ;9;5;3;4;5;3;1;2;5;1;1;5;1;3;3;3;3;2;4;5;3;3;5;1;1;5;5;5;5;4;2;1;5;1;1;3;4;3;2;2;2;2;5;4;1;1;2;1;1;5;3;5;5;19-12-2022;00:57:22;19-12-2022;01:02:26;1;5;3;5;5;09-01-2023;12:16:04;09-01-2023;12:22:17;1;5;4;5;5;09-02-2023;09:31:45;09-02-2023;09:39:43;304;373;478
800186;202212;202301;202302;83;2;4;1;1;0;1;0;0;0; ;1;3;2;3;2;6;7;8;7;6;6;6;7;5;6;7;8;8;8;6;7;6;7;6;6;7;6;6;6;7;5;7;7;8;8;8;7;6;5;1;2;2;1;1;1;1;3; ;100; ; ; ;25;25; ;25; ;10;15; ; ; ; ; ; ; ; ; ; ; ; ;0;0; ;0;0;0;0;0;0;0;0;1; ;6;6;1;6;6;6;7;4;5;5;3;3;3;1;5;6;2;6;5;1;6;6;6;6;1;5;6;3;4;4;6;4;6;4;2; ; ; ;2; ; ;2; ; ;6;4;4;4;4;1;3;4;4;3;3;3;2;3;2;3;2;3;3;3;2;3;4;3;3;4;4;4;4;3;3;2;3;3;3;4;4;3;2;2;2;1;3;3;2;2;3;2;1;4;4;4;4;08-12-2022;15:47:27;08-12-2022;15:54:11;5;4;4;3;4;04-01-2023;14:26:26;04-01-2023;14:35:47;4;4;4;4;4;07-02-2023;16:48:04;07-02-2023;16:56:49;404;561;525
800201;202212;202301;202302;49;1;3;1;1;0;0;1;0;0; ;1;2;2;2;2;8;8;8;8;8;7;8;8;8;7;8;7;8;6;7;7;6;8;8;8;8;8;6;8;8;8;7;6;6;8;6;7;7;5;2;1;1;1;1;2;1;9; ;100;6; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;0;0;0;1;0;1;1;0;0; ;5;5;3;4;6;6;7;1;6;5;7;5;4;4;5;3;6;7;4;3;5;6;5;6;0;7;5;7;5;4;4;4;4;6;2; ; ; ;1;5; ;2; ; ;4;5;5;1;1;4;1;2;5;2;1;3;1;3;3;5;3;5;4;2;3;4;4;4;1;4;5;4;5;4;2;2;2;2;3;4;4;4;1;1;1;1;3;2;3;1;1;1;3;3;2;4;4;05-12-2022;18:49:43;05-12-2022;18:53:38;1;5;1;3;3;02-01-2023;14:48:10;02-01-2023;14:54:55;2;4;4;5;5;06-02-2023;19:43:25;06-02-2023;19:51:56;235;405;511
800204;202212;202301;202302;80;2;3;1;0;0;1;0;0;0; ;2;3;2;3;2;3;3;6;7;4;4;7;6;3;7;8;8;9;5;6;5;2;4;5;7;8;4;5;6;6;4;7;8;8;9;6;8;7;4;1;1;1;2;1;1;1;1; ;80; ; ; ;80; ; ; ;10; ; ; ; ; ; ; ; ; ; ;10; ; ; ;0;0; ;0;0;0;0;0;0;1;0;0; ;7;5;0;2;4;1;0;0;0;0;1;1;0;0;0;1;0;8;3;1;1;4;1;1;0;0;0;0;1;0;0;0;1;0;2; ; ; ;2; ; ;2; ; ;3;5;5;3;1;2;4;1;4;3;3;5;1;4;4;4;4;3;5;3;3;3;3;2;2;3;5;4;4;4;2;2;4;3;3;3;2;3;2;2;1;1;3;2;2;5;2;1;1;5;2;4;5;11-12-2022;19:39:23;11-12-2022;19:46:52;1;5;3;5;5;26-01-2023;16:31:40;26-01-2023;16:44:31;5;5;4;5;5;20-02-2023;14:54:36;26-02-2023;15:53:18;449;771;521922
800212;202212;-9;202303;-9;-9;3;0;0;0;0;0;1;0; ;3; ;2; ;3;5;5;5;7;4;3;5;5;3;8;8;8;7;6;6;8;5;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;8;9;-9;6;-9;8;5;1;1;1;1;2;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;4;3;1;2;3;4;2;4;2;3;2;2;3;2;5;4;3;5;1;4;4;3;2;2;5;5;3;4;4;2;1;4;2;4;4;2;1;2;2;1;1;4;2;4;1;2;1;3;3;4;1;3;26-12-2022;00:13:41;26-12-2022;00:19:27; ; ; ; ; ; ; ; ; ;1;5;5;5;4;06-03-2023;13:46:43;06-03-2023;13:54:45;346; ;482
800216;202212;202301;202302;64;1;1;1;1;1;0;0;0;0; ;1;4;1;4;1;2;4;6;6;4;4;4;6;7;7;7;7;7;6;7;7;6;3;5;6;6;4;4;4;7;6;7;6;7;7;7;8;8;7;2;1;1;1;1;2;1;4; ;100;8; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;0;0;1;0;0;1;0;0;0; ;3;5;4;6;6;7;6;3;6;7;6;6;5;5;6;7;7;1;4;4;5;6;7;5;2;6;7;6;7;7;5;6;7;3;2; ; ; ;1;7; ;2; ; ;6;5;5;4;4;2;4;1;4;3;4;4;1;4;4;4;4;2;3;4;2;3;4;2;3;2;4;2;3;4;2;2;2;2;4;4;3;3;2;2;1;1;5;4;2;2;2;2;1;3;3;3;3;06-12-2022;14:10:47;06-12-2022;14:14:58;1;4;3;4;4;03-01-2023;15:48:37;03-01-2023;15:53:40;1;4;2;4;4;13-02-2023;18:56:11;13-02-2023;19:02:49;251;303;398
800228;202212;202301;202302;70;1;2;1;0;0;1;0;0;0; ;1;4;1;4;1;4;6;8;7;5;5;5;6;6;7;7;8;8;6;7;7;5;4;5;8;7;4;5;4;4;6;8;8;8;8;6;6;7;5;1;1;1;2;1;2;1;7; ;100;8; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;0;0;1;0;0;1;0;0;0; ;2;7;2;4;6;10;8;0;6;5;6;5;3;2;3;3;4;4;5;3;4;6;6;7;1;5;6;6;5;5;2;6;3;4;1;7; ;3; ; ; ;2; ; ;4;5;2;3;4;4;1;2;4;3;2;5;1;4;4;3;5;1;4;5;2;4;5;3;1;4;5;4;3;4;3;3;3;4;4;4;2;1;2;2;1;1;3;4;3;1;1;1;2;4;2;2;2;19-12-2022;18:05:29;19-12-2022;18:09:30;2;4;2;2;2;02-01-2023;14:34:05;02-01-2023;14:39:16;2;4;2;2;3;23-02-2023;14:48:16;23-02-2023;14:53:18;241;311;302
